                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7513,                 6.6258,                 1.0163,                0.00033,                    0.1,                0.00018,                  6e-05,                 1.7851,                 5.7946,                 1.0072,                  4e-05,                  4e-05,                  4e-05
                      2,                 1.3806,                  5.429,                0.91173,                  0.001,                    0.3,                0.00093,                0.00027,                 1.2847,                  5.394,                0.91464,              9.901e-05,              9.901e-05,              9.901e-05
                      3,                 1.6135,                 4.8853,                0.90264,                0.00333,                      1,                0.00729,                0.00388,                 1.1427,                   5.19,                0.79513,             0.00015683,             0.00015683,             0.00015683
                      4,                 1.4457,                 4.0869,                0.88764,                0.00333,                      1,                0.00804,                0.00397,                 1.0388,                 4.9627,                0.76098,             0.00021347,             0.00021347,             0.00021347
                      5,                 1.2209,                 2.8858,                0.85593,                  0.003,                    0.9,                0.00649,                0.00367,                 1.0482,                 4.8345,                0.76077,             0.00026891,             0.00026891,             0.00026891
                      6,                 1.2922,                 2.5616,                0.89312,                  0.003,                    0.9,                0.00641,                0.00357,                 1.0951,                 4.6401,                0.77893,             0.00032317,             0.00032317,             0.00032317
                      7,                 1.2021,                 2.5312,                0.90856,                  0.003,                    0.9,                0.00633,                0.00344,                 1.0624,                 4.7789,                0.78432,             0.00037624,             0.00037624,             0.00037624
                      8,                 1.0488,                 2.6379,                0.87657,                  0.003,                    0.9,                0.00611,                0.00327,                 1.0051,                 4.9099,                0.79292,             0.00042812,             0.00042812,             0.00042812
                      9,                 1.2196,                 4.6475,                 0.8225,                  0.003,                    0.9,                0.00591,                0.00285,                0.98412,                 4.8352,                0.81008,             0.00047882,             0.00047882,             0.00047882
                     10,                0.69492,                 4.1869,                0.57999,                  0.003,                    0.9,                0.00559,                 0.0025,                  1.121,                 4.9348,                0.84901,             0.00052832,             0.00052832,             0.00052832
                     11,                0.82139,                 4.4019,                0.62726,                  0.003,                    0.9,                0.00527,                0.00268,                 1.1602,                 4.8222,                0.84743,             0.00057664,             0.00057664,             0.00057664
                     12,                 1.1397,                 2.5471,                0.85576,                0.00333,                      1,                0.00597,                0.00367,                 1.0621,                 4.5713,                0.82458,             0.00062377,             0.00062377,             0.00062377
                     13,                 1.1181,                 2.3104,                0.89772,                0.00333,                      1,                0.05276,                0.03184,                 1.0812,                 4.5834,                0.81038,             0.00066971,             0.00066971,             0.00066971
                     14,                 1.0163,                 2.0445,                0.90539,                0.00333,                      1,                0.00575,                0.00368,                 1.1002,                 4.6977,                0.80147,             0.00071447,             0.00071447,             0.00071447
                     15,                 1.2991,                 2.1409,                0.96356,                0.00333,                      1,                0.00502,                0.00314,                 1.2065,                 4.7814,                0.84233,             0.00075803,             0.00075803,             0.00075803
                     16,                 1.3013,                 2.7394,                0.79507,                  0.003,                    0.9,                0.00457,                0.00252,                 1.2808,                 4.8334,                 0.8572,             0.00080041,             0.00080041,             0.00080041
                     17,                 1.2863,                 3.2087,                0.86043,                0.00333,                      1,                0.00529,                0.00267,                 1.2171,                  4.633,                0.83395,              0.0008416,              0.0008416,              0.0008416
                     18,                 1.2034,                 2.5402,                0.84765,                0.00333,                      1,                0.00501,                0.00309,                 1.0936,                 4.3288,                0.81293,              0.0008816,              0.0008816,              0.0008816
                     19,                 1.2852,                 2.2225,                0.85912,                0.00333,                      1,                0.00501,                0.00309,                 1.0936,                 4.3288,                0.81293,             0.00092042,             0.00092042,             0.00092042
                     20,                 1.4488,                 2.5988,                0.90158,                0.00333,                      1,                0.00415,                0.00261,                 1.0836,                 4.2355,                 0.8355,             0.00095804,             0.00095804,             0.00095804
                     21,                 1.3067,                 2.3199,                0.95043,                  0.003,                    0.9,                0.00392,                0.00258,                  1.096,                 4.2111,                0.84178,             0.00099448,             0.00099448,             0.00099448
                     22,                  1.128,                  2.132,                0.88918,                  0.003,                    0.9,                0.00392,                0.00258,                  1.096,                 4.2111,                0.84178,              0.0010297,              0.0010297,              0.0010297
                     23,                0.88899,                 3.4814,                0.62428,                  0.003,                    0.9,                0.04264,                 0.0343,                 1.1581,                 4.0118,                0.85013,              0.0010638,              0.0010638,              0.0010638
                     24,                 1.2875,                 2.1313,                0.95131,                0.00333,                      1,                0.74622,                0.51503,                 1.2977,                 3.6659,                0.84225,              0.0010967,              0.0010967,              0.0010967
                     25,                0.83319,                 3.5386,                0.64815,                0.00333,                      1,                0.74622,                0.51503,                 1.2977,                 3.6659,                0.84225,              0.0011284,              0.0011284,              0.0011284
                     26,                 1.5525,                 2.6805,                0.91797,                0.00333,                      1,                0.89576,                0.51311,                 1.5384,                 3.6541,                0.90226,              0.0011588,              0.0011588,              0.0011588
                     27,                 1.4314,                 1.7235,                0.95115,                0.00333,                      1,                0.89576,                0.51311,                 1.5384,                 3.6541,                0.90226,              0.0011882,              0.0011882,              0.0011882
                     28,                 1.2708,                 2.6221,                0.87427,                0.00333,                      1,                0.89955,                0.49779,                 1.5094,                 3.6311,                0.91091,              0.0012163,              0.0012163,              0.0012163
                     29,                 1.1376,                 2.1046,                0.90044,                0.00333,                      1,                0.89955,                0.49779,                 1.5094,                 3.6311,                0.91091,              0.0012432,              0.0012432,              0.0012432
                     30,                 1.0071,                 1.8175,                0.96084,                      1,                0.60569,                  0.995,                0.58327,                 1.3488,                 3.3937,                0.90455,               0.001269,               0.001269,               0.001269
                     31,                  1.138,                 2.9489,                0.89737,                      1,                0.60569,                  0.995,                0.58327,                 1.3488,                 3.3937,                0.90455,              0.0012935,              0.0012935,              0.0012935
                     32,                  1.411,                 2.5228,                0.90815,                      1,                0.43424,                  0.995,                0.60633,                 1.3853,                 3.5695,                0.90449,              0.0013169,              0.0013169,              0.0013169
                     33,                0.89627,                 3.3126,                0.59523,                      1,                0.43424,                  0.995,                0.60633,                 1.3853,                 3.5695,                0.90449,              0.0013391,              0.0013391,              0.0013391
                     34,                 1.4218,                 3.0702,                0.86756,                      1,                 0.9336,                  0.995,                0.64633,                 1.2933,                 3.2243,                0.88953,              0.0013466,              0.0013466,              0.0013466
                     35,                 1.4035,                 1.7624,                0.97332,                      1,                 0.9336,                  0.995,                0.64633,                 1.2933,                 3.2243,                0.88953,              0.0013466,              0.0013466,              0.0013466
                     36,                 1.5197,                 2.7856,                0.91989,                      1,                0.97581,                  0.995,                0.69664,                 1.2268,                 2.6804,                0.89762,              0.0013268,              0.0013268,              0.0013268
                     37,                 1.2375,                 2.2272,                 0.8705,                      1,                0.97581,                  0.995,                0.69664,                 1.2268,                 2.6804,                0.89762,               0.001307,               0.001307,               0.001307
                     38,                 1.5265,                 2.2051,                0.92077,                      1,                0.98086,                  0.995,                0.70255,                 1.1907,                   2.64,                0.86566,              0.0012872,              0.0012872,              0.0012872
                     39,                 1.4605,                 2.9888,                0.92311,                      1,                0.98086,                  0.995,                0.70255,                 1.1907,                   2.64,                0.86566,              0.0012674,              0.0012674,              0.0012674
                     40,                  1.247,                 2.0216,                0.91107,                      1,                0.97369,                  0.995,                0.68321,                 1.2053,                 2.8096,                0.86127,              0.0012476,              0.0012476,              0.0012476
                     41,                 1.6739,                 2.7045,                0.93817,                      1,                0.97369,                  0.995,                0.68321,                 1.2053,                 2.8096,                0.86127,              0.0012278,              0.0012278,              0.0012278
                     42,                 1.6076,                 3.0517,                0.84948,                      1,                 0.9968,                  0.995,                0.62016,                 1.3308,                 2.5738,                0.90083,               0.001208,               0.001208,               0.001208
                     43,                 1.3582,                 2.1528,                0.94752,                      1,                 0.9968,                  0.995,                0.62016,                 1.3308,                 2.5738,                0.90083,              0.0011882,              0.0011882,              0.0011882
                     44,                 1.4153,                 2.9654,                0.91437,                 0.9824,                      1,                  0.995,                0.61867,                  1.396,                 2.2889,                 0.9344,              0.0011684,              0.0011684,              0.0011684
                     45,                  1.397,                  1.984,                0.95857,                 0.9824,                      1,                  0.995,                0.61867,                  1.396,                 2.2889,                 0.9344,              0.0011486,              0.0011486,              0.0011486
                     46,                 1.1429,                  1.772,                0.90794,                0.99372,                      1,                  0.995,                0.67354,                 1.3205,                 2.0237,                0.91209,              0.0011288,              0.0011288,              0.0011288
                     47,                 1.2534,                 1.5152,                0.90324,                0.99372,                      1,                  0.995,                0.67354,                 1.3205,                 2.0237,                0.91209,               0.001109,               0.001109,               0.001109
                     48,                 1.4724,                 2.2196,                0.87938,                      1,                0.98801,                  0.995,                0.58575,                 1.4247,                 2.0184,                0.93784,              0.0010892,              0.0010892,              0.0010892
                     49,                 1.4623,                 2.0177,                0.91342,                      1,                0.98801,                  0.995,                0.58575,                 1.4247,                 2.0184,                0.93784,              0.0010694,              0.0010694,              0.0010694
                     50,                 1.3538,                 1.7894,                0.95477,                      1,                0.99118,                  0.995,                0.53549,                 1.5288,                  2.018,                 1.0047,              0.0010496,              0.0010496,              0.0010496
                     51,                 1.5511,                 1.6185,                 1.0135,                      1,                0.99118,                  0.995,                0.53549,                 1.5288,                  2.018,                 1.0047,              0.0010298,              0.0010298,              0.0010298
                     52,                  1.442,                 2.1461,                0.95669,                      1,                0.99143,                  0.995,                0.54372,                 1.5536,                 2.1245,                 1.0126,                0.00101,                0.00101,                0.00101
                     53,                 1.5088,                 1.8556,                0.94135,                      1,                0.99143,                  0.995,                0.54372,                 1.5536,                 2.1245,                 1.0126,              0.0009902,              0.0009902,              0.0009902
                     54,                0.93224,                  2.835,                0.58364,                      1,                 0.9921,                  0.995,                 0.6104,                 1.4209,                 1.9838,                0.95257,              0.0009704,              0.0009704,              0.0009704
                     55,                  1.439,                 2.5668,                0.83476,                      1,                 0.9921,                  0.995,                 0.6104,                 1.4209,                 1.9838,                0.95257,              0.0009506,              0.0009506,              0.0009506
                     56,                 1.2916,                 1.5249,                0.98653,                      1,                0.99418,                  0.995,                 0.6292,                 1.3627,                 1.9104,                0.91734,              0.0009308,              0.0009308,              0.0009308
                     57,                  1.107,                 2.7046,                0.71169,                      1,                0.99418,                  0.995,                 0.6292,                 1.3627,                 1.9104,                0.91734,               0.000911,               0.000911,               0.000911
                     58,                 1.0779,                 1.9203,                0.83377,                      1,                0.99049,                  0.995,                0.62702,                 1.4087,                 1.8685,                0.92807,              0.0008912,              0.0008912,              0.0008912
                     59,                 1.3783,                 1.5892,                 0.8408,                      1,                0.99049,                  0.995,                0.62702,                 1.4087,                 1.8685,                0.92807,              0.0008714,              0.0008714,              0.0008714
                     60,                0.80117,                 2.4431,                 0.5741,                 0.9928,                      1,                  0.995,                0.63163,                 1.4056,                 1.8066,                0.94045,              0.0008516,              0.0008516,              0.0008516
                     61,                  1.166,                 1.6083,                0.87163,                 0.9928,                      1,                  0.995,                0.63163,                 1.4056,                 1.8066,                0.94045,              0.0008318,              0.0008318,              0.0008318
                     62,                   1.42,                 2.6224,                0.92661,                0.99014,                      1,                  0.995,                0.64132,                 1.3473,                 1.7815,                0.92528,               0.000812,               0.000812,               0.000812
                     63,                 1.3958,                 2.4486,                0.89245,                0.99014,                      1,                  0.995,                0.64132,                 1.3473,                 1.7815,                0.92528,              0.0007922,              0.0007922,              0.0007922
                     64,                 1.0177,                 1.6246,                 0.9203,                0.98594,                      1,                  0.995,                0.66993,                 1.2303,                 1.7986,                0.88862,              0.0007724,              0.0007724,              0.0007724
                     65,                 1.2276,                 1.9907,                0.92446,                0.98594,                      1,                  0.995,                0.66993,                 1.2303,                 1.7986,                0.88862,              0.0007526,              0.0007526,              0.0007526
                     66,                 1.0762,                 1.3241,                0.94671,                0.98785,                      1,                  0.995,                0.64868,                 1.1809,                 1.7505,                0.87774,              0.0007328,              0.0007328,              0.0007328
                     67,                 1.1393,                 1.5047,                0.92496,                0.98785,                      1,                  0.995,                0.64868,                 1.1809,                 1.7505,                0.87774,               0.000713,               0.000713,               0.000713
                     68,                 1.4362,                 1.7104,                 0.8794,                0.99233,                      1,                  0.995,                 0.6548,                  1.126,                  1.663,                0.86093,              0.0006932,              0.0006932,              0.0006932
                     69,                0.94878,                 1.5944,                0.92733,                0.99233,                      1,                  0.995,                 0.6548,                  1.126,                  1.663,                0.86093,              0.0006734,              0.0006734,              0.0006734
                     70,                   1.31,                 1.5277,                0.93941,                0.99432,                      1,                  0.995,                0.67031,                 1.0993,                 1.5992,                 0.8565,              0.0006536,              0.0006536,              0.0006536
                     71,                 1.4833,                 2.1438,                0.92512,                0.99432,                      1,                  0.995,                0.67031,                 1.0993,                 1.5992,                 0.8565,              0.0006338,              0.0006338,              0.0006338
                     72,                 1.1539,                 1.3875,                0.93541,                0.99571,                      1,                  0.995,                0.67861,                 1.0828,                 1.5862,                0.85352,               0.000614,               0.000614,               0.000614
                     73,                 1.2828,                 1.8789,                0.90524,                0.99571,                      1,                  0.995,                0.67861,                 1.0828,                 1.5862,                0.85352,              0.0005942,              0.0005942,              0.0005942
                     74,                 0.9564,                 1.1659,                0.85141,                0.99515,                      1,                  0.995,                0.63979,                 1.1194,                 1.5949,                0.85175,              0.0005744,              0.0005744,              0.0005744
                     75,                 1.2037,                 1.4123,                0.89939,                0.99515,                      1,                  0.995,                0.63979,                 1.1194,                 1.5949,                0.85175,              0.0005546,              0.0005546,              0.0005546
                     76,                 1.4011,                 2.1446,                0.91062,                0.99425,                      1,                  0.995,                0.65168,                 1.1484,                 1.6416,                0.84683,              0.0005348,              0.0005348,              0.0005348
                     77,                0.72523,                 2.1817,                0.61427,                0.99425,                      1,                  0.995,                0.65168,                 1.1484,                 1.6416,                0.84683,               0.000515,               0.000515,               0.000515
                     78,                 1.0367,                 1.5927,                0.91965,                0.99362,                      1,                  0.995,                0.64008,                 1.1582,                 1.6077,                0.85131,              0.0004952,              0.0004952,              0.0004952
                     79,                 1.1339,                 1.5087,                0.92042,                0.99362,                      1,                  0.995,                0.64008,                 1.1582,                 1.6077,                0.85131,              0.0004754,              0.0004754,              0.0004754
                     80,                 1.1335,                 1.3587,                0.92655,                0.99341,                      1,                  0.995,                0.64445,                 1.1632,                 1.5477,                0.85642,              0.0004556,              0.0004556,              0.0004556
                     81,                 1.3102,                 2.4554,                0.78394,                0.99341,                      1,                  0.995,                0.64445,                 1.1632,                 1.5477,                0.85642,              0.0004358,              0.0004358,              0.0004358
                     82,                0.67085,                 2.0903,                0.59072,                0.99375,                      1,                  0.995,                0.63086,                 1.2104,                 1.4853,                0.86622,               0.000416,               0.000416,               0.000416
                     83,                 1.2071,                 1.4023,                0.86211,                0.99375,                      1,                  0.995,                0.63086,                 1.2104,                 1.4853,                0.86622,              0.0003962,              0.0003962,              0.0003962
                     84,                 1.0026,                 1.5084,                 0.9201,                0.99389,                      1,                  0.995,                0.64658,                 1.2316,                 1.4244,                0.87157,              0.0003764,              0.0003764,              0.0003764
                     85,                0.89889,                 1.5557,                0.85376,                0.99389,                      1,                  0.995,                0.64658,                 1.2316,                 1.4244,                0.87157,              0.0003566,              0.0003566,              0.0003566
                     86,                 1.0507,                 1.4062,                0.94605,                0.99412,                      1,                  0.995,                0.64223,                 1.2326,                 1.3652,                0.86922,              0.0003368,              0.0003368,              0.0003368
                     87,                 1.2373,                 2.2464,                0.69895,                0.99412,                      1,                  0.995,                0.64223,                 1.2326,                 1.3652,                0.86922,               0.000317,               0.000317,               0.000317
                     88,                 1.1162,                 1.8701,                0.83997,                0.99424,                      1,                  0.995,                0.63447,                 1.2033,                 1.3557,                0.85725,              0.0002972,              0.0002972,              0.0002972
                     89,                 1.1527,                  1.495,                0.93033,                0.99424,                      1,                  0.995,                0.63447,                 1.2033,                 1.3557,                0.85725,              0.0002774,              0.0002774,              0.0002774
